iteration, Relative FID
1, 5.735606018613124
2, 3.04877900188178
3, 3.574098867933625
4, 4.323014811209415
5, 1.1268170627749308
6, 1.0235343230616247
7, 1.0499907136255318
8, 0.9865086596603677
9, 1.1047968215986392
