iteration, FID
1, 5.735606018613124
2, 9.881981103937692
3, 13.257688306934094
4, 17.650705551250176
5, 19.93781199363376
6, 22.230591405280197
7, 25.72050273234164
8, 28.331785712777787
9, 30.597117708123648
