iteration, Recall
1, 0.3944142758846283
2, 0.27478572726249695
3, 0.1980857104063034
4, 0.133200004696846
5, 0.10538571327924728
6, 0.08291428536176682
7, 0.062457144260406494
8, 0.04698571562767029
9, 0.03310000151395798
