,w = 0,w = 0.25,w = 0.5,w = 1
1,0.836782714760602,0.836782714760602,0.836782714760602,0.836782714760602
2,2.55916799259103,1.19861753075361,1.96838843430214,7.26820935693013
3,23.4014671319246,4.53481411102371,3.17984014366198,6.94616367822232
4,50.4909143076977,9.88696178280475,7.09001845873013,28.2508502186447
5,81.7400577700823,12.6462999306391,13.5795688336107,46.1064410482538
6,115.11532131307,14.3298847860804,22.0594378163037,56.1713055448925
7,135.647115809087,16.5649886554249,29.8980616604499,64.827993763867
8,174.150884385094,20.6309628919669,36.6815145132516,71.280248035451
9,200.529856194704,25.255674791438,43.9456968870522,75.7519763733533
10,233.552603123857,29.5347564542828,51.5221559090151,77.6040283073467
