1.000000000000000000e+00,6.958813393730451935e-01,6.958813393730451935e-01,6.958813393730451935e-01,6.958813393730451935e-01
2.000000000000000000e+00,1.434625793407121819e+00,7.361518657030501345e-01,1.030158209602177521e+00,2.175965053390882531e+00
3.000000000000000000e+00,1.330812006481210119e+00,8.569186892821107904e-01,1.738068936323315938e+00,4.030417211239409880e+00
4.000000000000000000e+00,1.872032307469225998e+00,9.561257321536231757e-01,2.323592236165950453e+00,5.824101910178796970e+00
5.000000000000000000e+00,2.060372771433094385e+00,1.069578599067426694e+00,2.732150810132907282e+00,6.891957395984491086e+00
6.000000000000000000e+00,2.203135346961062169e+00,1.095801034492296822e+00,2.892767070528179829e+00,7.409888990369154271e+00
7.000000000000000000e+00,2.307026260465136147e+00,1.207565846615125338e+00,3.323006941758649191e+00,8.540557374020181669e+00
8.000000000000000000e+00,2.672777134104308061e+00,1.317205379636561702e+00,3.568984247559001233e+00,8.610317111758376996e+00
9.000000000000000000e+00,2.773890028673349661e+00,1.404699262007852667e+00,3.642749566535030681e+00,8.901724413914962497e+00
1.000000000000000000e+01,3.250449716072807860e+00,1.445342762282052718e+00,3.960371489592716898e+00,9.389963172539182779e+00
