,w = 0,w = 0.25,w = 0.5,w = 1
1,0.927733333333333,0.927733333333333,0.927733333333333,0.927733333333333
2,0.8978,0.922966666666667,0.935316666666667,0.9494
3,0.83825,0.881733333333333,0.911916666666667,0.924933333333333
4,0.802266666666667,0.885266666666667,0.92845,0.94895
5,0.775516666666667,0.893483333333333,0.9326,0.949783333333333
6,0.745833333333333,0.9013,0.9333,0.937783333333333
7,0.729533333333333,0.914016666666667,0.928966666666667,0.927283333333333
8,0.700816666666667,0.91085,0.930066666666667,0.912
9,0.677483333333333,0.9129,0.9284,0.899933333333333
10,0.6525,0.904716666666667,0.93275,0.883183333333333
