,w = 0,w = 0.25,w = 0.5,w = 1
1,0.955733333333333,0.955733333333333,0.955733333333333,0.955733333333333
2,0.94335,0.928783333333333,0.907316666666667,0.847466666666667
3,0.882966666666667,0.864016666666667,0.807316666666667,0.7507
4,0.817266666666667,0.747116666666667,0.631833333333333,0.399466666666667
5,0.7273,0.60755,0.409733333333333,0.1332
6,0.64765,0.48585,0.20535,0.02905
7,0.584466666666667,0.363266666666667,0.0856833333333333,0.00663333333333333
8,0.488533333333333,0.22915,0.0384833333333333,0.002
9,0.41755,0.151116666666667,0.0188333333333333,0.001
10,0.322516666666667,0.0941333333333333,0.0361666666666667,0.000116666666666667
