1.000000000000000000e+00,9.592166666666667174e-01,9.592166666666667174e-01,9.592166666666667174e-01,9.592166666666667174e-01
2.000000000000000000e+00,9.564000000000000279e-01,9.510666666666666158e-01,9.478833333333333000e-01,9.433500000000000218e-01
3.000000000000000000e+00,9.584833333333333538e-01,9.468999999999999639e-01,9.412166666666667014e-01,9.279500000000000526e-01
4.000000000000000000e+00,9.553833333333333622e-01,9.429499999999999549e-01,9.330666666666667108e-01,9.193833333333333302e-01
5.000000000000000000e+00,9.545166666666666799e-01,9.383833333333333471e-01,9.266499999999999737e-01,9.064833333333333076e-01
6.000000000000000000e+00,9.549166666666666359e-01,9.367166666666666419e-01,9.197333333333332916e-01,9.039333333333333664e-01
7.000000000000000000e+00,9.537333333333333218e-01,9.357499999999999707e-01,9.167999999999999483e-01,8.959166666666666945e-01
8.000000000000000000e+00,9.529333333333332989e-01,9.315999999999999837e-01,9.152833333333333377e-01,8.956499999999999462e-01
9.000000000000000000e+00,9.526666666666666616e-01,9.329833333333333867e-01,9.077499999999999458e-01,8.819666666666666766e-01
1.000000000000000000e+01,9.527833333333333155e-01,9.306666666666666421e-01,9.058833333333333737e-01,8.823166666666666380e-01
