feature,claude-4-sonnet,gemini-2.5-flash,gemini-2.5-pro,human,o3,oracle,qwen3-235b-a22b-thinking-2507
grid_size,0.16353408421245108,-0.17412717279355241,-0.002218692154793073,-0.024127976789070048,-0.09003459534250069,0.0744016793329062,0.07628927686736049
num_fn_defns,-0.07240825671823617,0.0707433653594191,-0.05155979880265459,0.04726772930937406,0.18076403960811496,-0.09200871399997876,0.062107330039470186
num_latent_vars,-0.2351004295698973,-0.13659852479058882,-0.04181814326737295,0.05236001095657031,0.09495418094527887,0.05814549736466787,-0.06869719293550922
num_obj_defn,-0.11709296305892364,-0.2117519221020423,-0.11688376649703282,-0.15003630274932994,-0.2668106803369973,-0.11481597679727973,-0.12161573529852449
num_on_clauses,-0.33579709231826554,0.12684600987441563,-0.11785112123514123,-0.041857213064921094,0.05366576840009131,0.045275397287505036,-0.13371204062988895
num_unique_colors,0.0161416752262748,-0.015135519019944612,-0.074226736440701,-0.1289078428329478,-0.07444631340732921,0.028427749878930642,-0.12490063635527054
program_length,0.2698137374654394,-0.0712380481305617,0.08907028893901624,0.14389650677556245,-0.10615084684069305,-0.052331505751725925,0.039483432220938745
