feature,claude-4-sonnet,gemini-2.5-flash,gemini-2.5-pro,human,o3,oracle,qwen3-235b-a22b-thinking-2507
grid_size,0.14220024573208098,-0.1470038601076046,-0.008975575202163237,-0.00845503149236793,-0.12982593909002232,0.0720463293080919,0.044617072699400954
num_fn_defns,0.04160171469160983,0.056799810277631486,-0.014345480773188637,0.08092234670946781,0.16496224509092755,-0.10470861046670532,0.07282560778743226
num_latent_vars,-0.28343867121033495,-0.22384131923169182,-0.14194163825509512,-0.03883775275387095,-0.10451507161675509,-0.004754017421232559,-0.23569686860362224
num_obj_defn,-0.22045777029464234,-0.2845498329827778,-0.1673705686646445,-0.13137392521373759,-0.29215092693775757,-0.07100885342265936,-0.23739176715175045
num_on_clauses,-0.17782598838257166,-0.12435304277434676,-0.1050221583155964,0.0014012642055565097,-0.16443635472048382,0.028725509748507,-0.16961434364290032
num_unique_colors,-0.15044342043318484,-0.16175272503467542,-0.13984903672699722,-0.10713756018142404,-0.11267933095150051,-0.015271563298254196,-0.21431809268529803
program_length,-0.128516626255682,-0.16519940598847144,-0.10937230766604157,0.036937201936485,-0.13770468831268612,-0.03229981377186254,-0.158934095125656
