task_type,claude-4-sonnet,gemini-2.5-flash,gemini-2.5-pro,human,o3,oracle,qwen3-235b-a22b-thinking-2507,claude-4-sonnet_sem,gemini-2.5-flash_sem,gemini-2.5-pro_sem,human_sem,o3_sem,oracle_sem,qwen3-235b-a22b-thinking-2507_sem
change_detection,0.09523809523809523,0.2027522110272649,0.11627906976744186,0.9141561700856204,0.22158924516212447,0.34944960064338393,0.07701536782410799,0.04584379641345075,0.0587524801080714,0.04946336973228638,0.020733042444471914,0.05422559999757102,0.07118997465814408,0.03857081110764243
masked_frame_prediction,0.3023255813953488,0.2558139534883721,0.2558139534883721,0.937984496124031,0.27906976744186046,0.813953488372093,0.21428571428571427,0.0708662093279121,0.06732528971681356,0.06732528971681358,0.02131782945736434,0.06921151712956695,0.06004625342957235,0.06408213992247219
planning,0.3488372093023256,0.13953488372093023,0.20930232558139536,0.9534883720930233,0.32558139534883723,0.18604651162790697,0.20930232558139536,0.07354134093414835,0.0534667007954521,0.06277223796575145,0.018613733248351305,0.07230526397743266,0.06004625342957235,0.06277223796575145
