generations,0,1,2,3,4,5,6,7,8,9
63,342.0,996.0,6299.0,19650.0,109.0,3739.0,61.0,5945.0,22438.0,421.0
64,397.0,1041.0,6445.0,20844.0,109.0,3539.0,7.0,5342.0,21906.0,370.0
65,523.0,1343.0,6197.0,20480.0,114.0,3731.0,22.0,5589.0,21676.0,325.0
66,526.0,1291.0,5847.0,20007.0,147.0,2953.0,29.0,4558.0,24266.0,376.0
67,557.0,1423.0,5335.0,19879.0,223.0,3087.0,76.0,4624.0,24329.0,467.0
68,459.0,1741.0,5126.0,20244.0,219.0,3666.0,87.0,5042.0,23052.0,364.0
69,435.0,1466.0,4953.0,19852.0,205.0,3592.0,89.0,5503.0,23567.0,338.0
70,475.0,653.0,4963.0,20297.0,264.0,3230.0,79.0,5894.0,23763.0,382.0
71,367.0,744.0,4256.0,19970.0,305.0,3063.0,98.0,6032.0,24667.0,498.0
72,247.0,1020.0,4927.0,18648.0,209.0,2768.0,34.0,5153.0,26421.0,573.0
73,326.0,1192.0,6170.0,19111.0,163.0,2964.0,13.0,5107.0,24229.0,725.0
74,155.0,1384.0,5997.0,18182.0,224.0,3206.0,63.0,5757.0,24515.0,517.0
75,179.0,734.0,6221.0,18902.0,125.0,3073.0,17.0,5072.0,24977.0,700.0
76,247.0,680.0,6609.0,18930.0,177.0,3284.0,5.0,4453.0,24768.0,847.0
77,241.0,329.0,7395.0,19156.0,158.0,3085.0,27.0,3949.0,24994.0,666.0
78,221.0,393.0,6990.0,19658.0,125.0,3166.0,15.0,4485.0,24205.0,742.0
79,304.0,286.0,6599.0,20704.0,206.0,3052.0,38.0,3721.0,24532.0,558.0
80,311.0,238.0,5882.0,20348.0,182.0,2988.0,29.0,3010.0,26508.0,504.0
81,210.0,346.0,5748.0,20394.0,96.0,2838.0,57.0,2688.0,27291.0,332.0
82,144.0,286.0,5021.0,20420.0,75.0,2627.0,38.0,2199.0,28970.0,220.0
83,146.0,484.0,4894.0,20131.0,101.0,3347.0,74.0,2576.0,28014.0,233.0
84,117.0,276.0,5146.0,21038.0,73.0,3212.0,77.0,2502.0,27280.0,279.0
85,67.0,329.0,4723.0,21524.0,22.0,3181.0,78.0,2149.0,27666.0,261.0
86,35.0,406.0,4247.0,21928.0,28.0,3397.0,63.0,2418.0,27381.0,97.0
87,84.0,387.0,4011.0,22343.0,27.0,2618.0,2.0,1657.0,28778.0,93.0
88,13.0,388.0,4091.0,21468.0,7.0,2846.0,8.0,1205.0,29927.0,47.0
89,43.0,538.0,4381.0,21668.0,51.0,2541.0,20.0,1075.0,29545.0,138.0
90,13.0,467.0,4367.0,21310.0,27.0,2945.0,68.0,1061.0,29653.0,89.0
91,42.0,490.0,4854.0,21829.0,32.0,2412.0,101.0,1021.0,29131.0,88.0
92,89.0,587.0,4411.0,20970.0,53.0,2740.0,139.0,1372.0,29587.0,52.0
93,23.0,699.0,3802.0,20070.0,27.0,2447.0,10.0,1318.0,31574.0,30.0
94,123.0,592.0,4053.0,19332.0,53.0,2612.0,36.0,1383.0,31789.0,27.0
95,137.0,599.0,3743.0,18126.0,55.0,2596.0,72.0,1293.0,33360.0,19.0
96,25.0,973.0,3253.0,18762.0,24.0,2844.0,95.0,962.0,33061.0,1.0
97,69.0,902.0,3365.0,18934.0,22.0,2871.0,76.0,996.0,32759.0,6.0
98,127.0,480.0,3168.0,19692.0,33.0,3215.0,54.0,952.0,32278.0,1.0
99,231.0,425.0,3540.0,17939.0,63.0,2746.0,47.0,943.0,34057.0,9.0
100,244.0,527.0,4066.0,17272.0,36.0,2908.0,65.0,972.0,33904.0,6.0
