source,feature,corr,abs_corr
claude-4-sonnet,program_length,-0.128516626255682,0.128516626255682
claude-4-sonnet,grid_size,0.14220024573208098,0.14220024573208098
claude-4-sonnet,num_latent_vars,-0.28343867121033495,0.28343867121033495
claude-4-sonnet,num_on_clauses,-0.17782598838257166,0.17782598838257166
claude-4-sonnet,num_obj_defn,-0.22045777029464234,0.22045777029464234
claude-4-sonnet,num_unique_colors,-0.15044342043318484,0.15044342043318484
claude-4-sonnet,num_fn_defns,0.04160171469160983,0.04160171469160983
gemini-2.5-flash,program_length,-0.16519940598847144,0.16519940598847144
gemini-2.5-flash,grid_size,-0.1470038601076046,0.1470038601076046
gemini-2.5-flash,num_latent_vars,-0.22384131923169182,0.22384131923169182
gemini-2.5-flash,num_on_clauses,-0.12435304277434676,0.12435304277434676
gemini-2.5-flash,num_obj_defn,-0.2845498329827778,0.2845498329827778
gemini-2.5-flash,num_unique_colors,-0.16175272503467542,0.16175272503467542
gemini-2.5-flash,num_fn_defns,0.056799810277631486,0.056799810277631486
gemini-2.5-pro,program_length,-0.10937230766604157,0.10937230766604157
gemini-2.5-pro,grid_size,-0.008975575202163237,0.008975575202163237
gemini-2.5-pro,num_latent_vars,-0.14194163825509512,0.14194163825509512
gemini-2.5-pro,num_on_clauses,-0.1050221583155964,0.1050221583155964
gemini-2.5-pro,num_obj_defn,-0.1673705686646445,0.1673705686646445
gemini-2.5-pro,num_unique_colors,-0.13984903672699722,0.13984903672699722
gemini-2.5-pro,num_fn_defns,-0.014345480773188637,0.014345480773188637
human,program_length,0.036937201936485,0.036937201936485
human,grid_size,-0.00845503149236793,0.00845503149236793
human,num_latent_vars,-0.03883775275387095,0.03883775275387095
human,num_on_clauses,0.0014012642055565097,0.0014012642055565097
human,num_obj_defn,-0.13137392521373759,0.13137392521373759
human,num_unique_colors,-0.10713756018142404,0.10713756018142404
human,num_fn_defns,0.08092234670946781,0.08092234670946781
o3,program_length,-0.13770468831268612,0.13770468831268612
o3,grid_size,-0.12982593909002232,0.12982593909002232
o3,num_latent_vars,-0.10451507161675509,0.10451507161675509
o3,num_on_clauses,-0.16443635472048382,0.16443635472048382
o3,num_obj_defn,-0.29215092693775757,0.29215092693775757
o3,num_unique_colors,-0.11267933095150051,0.11267933095150051
o3,num_fn_defns,0.16496224509092755,0.16496224509092755
oracle,program_length,-0.03229981377186254,0.03229981377186254
oracle,grid_size,0.0720463293080919,0.0720463293080919
oracle,num_latent_vars,-0.004754017421232559,0.004754017421232559
oracle,num_on_clauses,0.028725509748507,0.028725509748507
oracle,num_obj_defn,-0.07100885342265936,0.07100885342265936
oracle,num_unique_colors,-0.015271563298254196,0.015271563298254196
oracle,num_fn_defns,-0.10470861046670532,0.10470861046670532
qwen3-235b-a22b-thinking-2507,program_length,-0.158934095125656,0.158934095125656
qwen3-235b-a22b-thinking-2507,grid_size,0.044617072699400954,0.044617072699400954
qwen3-235b-a22b-thinking-2507,num_latent_vars,-0.23569686860362224,0.23569686860362224
qwen3-235b-a22b-thinking-2507,num_on_clauses,-0.16961434364290032,0.16961434364290032
qwen3-235b-a22b-thinking-2507,num_obj_defn,-0.23739176715175045,0.23739176715175045
qwen3-235b-a22b-thinking-2507,num_unique_colors,-0.21431809268529803,0.21431809268529803
qwen3-235b-a22b-thinking-2507,num_fn_defns,0.07282560778743226,0.07282560778743226
