source,masked_frame_prediction,masked_frame_prediction_sem,change_detection,change_detection_sem,planning,planning_sem
claude-4-sonnet,24.023255813953487,2.7633674651792735,29.88095238095238,4.324148541048865,30.58139534883721,4.241887907665112
gemini-2.5-flash,22.6046511627907,2.3568987673271558,23.837209302325583,2.8246914457388574,19.209302325581394,2.2512598022350376
gemini-2.5-pro,39.76744186046512,7.111969323014377,58.27906976744186,13.024736903598793,45.7906976744186,7.628671665746244
human,107.84496124031008,11.044897415378331,92.30232558139535,10.008496902796644,73.65116279069767,9.799798605515898
o3,14.232558139534884,1.3598568459697566,30.11627906976744,2.6063661100014093,11.30232558139535,0.5583701996598134
qwen3-235b-a22b-thinking-2507,28.904761904761905,6.884631635537066,19.74418604651163,1.4904988957397265,42.7906976744186,7.459269849542916
