source,mean,std,count,sem
claude-4-sonnet,0.8254092261904762,0.2530804846758491,128,0.022369365862533876
gemini-2.5-flash,0.7005198720314999,0.3211593492051091,129,0.02827650400825858
gemini-2.5-pro,0.7423864894795127,0.2997359394856682,129,0.026390277957851888
human,0.9245231942906361,0.1699937655255355,387,0.008641268736033395
o3,0.7838655100283006,0.2642139181644856,129,0.023262738371176553
qwen3-235b-a22b-thinking-2507,0.6929439484126984,0.3225934518537014,128,0.028513502171516037
