agent,frac_clicks,frac_arrows,frac_resets,frac_noops,sem_clicks,sem_arrows,sem_resets,sem_noops
claude-4-sonnet,0.5791399613704543,0.40002244523335856,0.013902644664363414,0.006934948731823732,0.015504269545128596,0.015338897427622296,0.003001497151825974,0.0023032118818108738
gemini-2.5-flash,0.5476232239881268,0.36259721850810195,0.07098512084374603,0.018794436660025168,0.016367019844606593,0.016351307192252987,0.004979810786982494,0.00495417286705373
gemini-2.5-pro,0.5277192002494895,0.39916577495545563,0.046065617568117306,0.027049407226937567,0.0181480339479139,0.017553147128540194,0.004827271201860056,0.004301852605740602
human,0.6175426542670992,0.23928582918119834,0.07158575827585122,0.07158575827585122,0.012845028719597126,0.008633507824968844,0.002445345228567191,0.002445345228567191
o3,0.5414155203441688,0.3435401513990685,0.050646788611904886,0.06439753964485766,0.019976934623878766,0.017760358556286118,0.004438379272323819,0.005068658773491413
qwen3-235b-a22b-thinking-2507,0.48490440465230383,0.37512973720956916,0.05379713657024581,0.08616872156788123,0.01931134736946198,0.017451631854014778,0.005279843709765675,0.004996411236957866
