source,deterministic,deterministic_sem,stochastic,stochastic_sem
claude-4-sonnet,0.12962962962962962,0.04613879568230498,0.33783783783783783,0.0553572993495212
gemini-2.5-flash,0.20191988707141947,0.0533815037197003,0.19752894896420986,0.04594984494947701
gemini-2.5-pro,0.12962962962962962,0.04613879568230498,0.24,0.049647405419265
human,0.9194124882968263,0.02078938697746131,0.946583657053152,0.013423632094626417
o3,0.1838968762165559,0.05158441508228067,0.34130541635036443,0.052407351539585346
oracle,0.5079346677377056,0.06779241266425819,0.40797147693105873,0.05668887521141108
qwen3-235b-a22b-thinking-2507,0.09268938720694829,0.039837310034095484,0.21865497725957847,0.047509042060272795
