source,planning,masked_frame_prediction,change_detection,planning_sem,masked_frame_prediction_sem,change_detection_sem
claude-4-sonnet,30.58139534883721,24.023255813953487,29.88095238095238,4.241887907665112,2.7633674651792735,4.324148541048865
gemini-2.5-flash,19.209302325581394,22.6046511627907,23.837209302325583,2.2512598022350376,2.3568987673271558,2.8246914457388574
gemini-2.5-pro,45.7906976744186,39.76744186046512,58.27906976744186,7.628671665746244,7.111969323014377,13.024736903598793
human,73.65116279069767,107.84496124031008,92.30232558139535,9.799798605515898,11.044897415378331,10.008496902796644
o3,11.30232558139535,14.232558139534884,30.11627906976744,0.5583701996598134,1.3598568459697566,2.6063661100014093
qwen3-235b-a22b-thinking-2507,42.7906976744186,28.904761904761905,19.74418604651163,7.459269849542916,6.884631635537066,1.4904988957397265
