cost,y_mean,y_lo,y_hi,n
0.183,0.26781808335868523,0.12993500295841884,0.4057011637589516,19
1.226,0.12957935825819258,0.03545694901713811,0.22370176749924706,19
1.59,0.19298245614035087,0.05784760701636768,0.328117305264334,19
1.837,0.07017543859649122,0.007395543116366934,0.13295533407661553,19
11.667,0.08549315606427191,0.02365744552569185,0.14732886660285197,19
