1,0.094,0.106,0.138,0.248,1.972
2,0.094,0.106,0.138,0.238,2.612
3,0.094,0.106,0.138,0.238,3.44
4,0.094,0.106,0.134,0.238,4.012
5,0.094,0.106,0.134,0.238,4.368
10,0.094,0.106,0.134,0.25,5.938
20,0.094,0.106,0.134,0.25,7.87
30,0.094,0.106,0.134,0.25,8.694
40,0.094,0.106,0.134,0.25,8.892
50,0.094,0.106,0.134,0.25,9.238
100,0.094,0.106,0.134,0.25,9.812
